position,original_name,analysis_name,label_short,construct,scale,block
1,Marca temporal,fecha_respuesta,Marca temporal,NA,id,metadata
2,Genero,genero,Genero,NA,"hombre,mujer,prefiero_no_decirlo",metadata
3,Seleccione su Edad,edad,Seleccione su Edad,NA,numeric,metadata
4,Universidad Donde Estudia,universidad,Universidad Donde Estudia,NA,character,metadata
5,Carrera que Estudia,carrera,Carrera que Estudia,NA,character,metadata
6,Ha Recibido Formación Empresarial,educacion_emprendedora,Ha Recibido Formación Empresarial,NA,"si,no",metadata
7,"Actitud personal: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Ser empresario me supone más ventajas que inconvenientes]",me_1,Ser empresario me supone más ventajas que inconvenientes,Actitud personal,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
8,"Actitud personal: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [La carrera de empresario me resulta atractiva]",me_2,La carrera de empresario me resulta atractiva,Actitud personal,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
9,"Actitud personal: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Si tuviera la oportunidad y los recursos, me gustaría crear una empresa]",me_3,"Si tuviera la oportunidad y los recursos, me gustaría crear una empresa",Actitud personal,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
10,"Actitud personal: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Ser empresario me supondría grandes satisfacciones]",me_4,Ser empresario me supondría grandes satisfacciones,Actitud personal,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
11,"Actitud personal: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Entres varias opciones, preferiría ser empresario]",me_5,"Entres varias opciones, preferiría ser empresario",Actitud personal,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
12,"Normas Subjetivas: Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?   Indique de 1 (desaprobación total) 7 (aprobación total) [Tú familia cercana]",me_6,"Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?: Tú familia cercana",Normas Subjetivas,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
13,"Normas Subjetivas: Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?   Indique de 1 (desaprobación total) 7 (aprobación total) [Sus amigos]",me_7,"Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?: Sus amigos",Normas Subjetivas,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
14,"Normas Subjetivas: Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?   Indique de 1 (desaprobación total) 7 (aprobación total) [Sus colegas]",me_8,"Si decidiera crear una empresa, ¿las personas de su entorno más cercano aprobaran está decisión?: Sus colegas",Normas Subjetivas,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
15,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Crear una empresa y mantenerla en funcionamiento me resulta fácil]",me_9,Crear una empresa y mantenerla en funcionamiento me resulta fácil,Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
16,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Estoy preparado para crear una empresa viable]",me_10,Estoy preparado para crear una empresa viable,Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
17,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Puedo controlar el proceso de creación de una nueva empresa]",me_11,Puedo controlar el proceso de creación de una nueva empresa,Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
18,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Conozco los detalles prácticos necesarios para crear una empresa]",me_12,Conozco los detalles prácticos necesarios para crear una empresa,Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
19,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Sé cómo desarrollar un proyecto empresarial]",me_13,Sé cómo desarrollar un proyecto empresarial,Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
20,"Control conductual percibido: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Si intentara crear una nueva empresa, tendría muchas probabilidades de éxito]",me_14,"Si intentara crear una nueva empresa, tendría muchas probabilidades de éxito",Control conductual percibido,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",ME
21,"Intención empresarial: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Estoy dispuesto a todo para ser empresario]",ie_1,Estoy dispuesto a todo para ser empresario,Intención empresarial,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",IE
22,"Intención empresarial: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Mi objetivo profesional es convertirme en empresario]",ie_2,Mi objetivo profesional es convertirme en empresario,Intención empresarial,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",IE
23,"Intención empresarial: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Hare todo lo posible para crear y dirigir mi propia empresa]",ie_3,Hare todo lo posible para crear y dirigir mi propia empresa,Intención empresarial,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",IE
24,"Intención empresarial: A continuación, indique su nivel de acuerdo con las siguientes afirmaciones, donde 1 significa ""total desacuerdo"" y 7 ""total acuerdo"" [Estoy decidido a crear una empresa en el futuro]",ie_4,Estoy decidido a crear una empresa en el futuro,Intención empresarial,"1 = ""total desacuerdo"" a 7 = ""total acuerdo",IE
